Date,Value
2000-01-01,44439.0
2000-02-01,55299.0
2000-03-01,49342.0
2000-04-01,30463.0
2000-05-01,20154.0
2000-06-01,17682.0
2000-07-01,16557.0
2000-08-01,16052.0
2000-09-01,26489.0
2000-10-01,16095.0
2000-11-01,23662.0
2000-12-01,35571.0
2001-01-01,33322.0
2001-02-01,33791.0
2001-03-01,30177.0
2001-04-01,23080.0
2001-05-01,18888.0
2001-06-01,17261.0
2001-07-01,14717.0
2001-08-01,12559.0
2001-09-01,13381.0
2001-10-01,19568.0
2001-11-01,22288.0
2001-12-01,34483.0
2002-01-01,50973.0
2002-02-01,60323.0
2002-03-01,42351.0
2002-04-01,26746.0
2002-05-01,25732.0
2002-06-01,18769.0
2002-07-01,16434.0
2002-08-01,14947.0
2002-09-01,15884.0
2002-10-01,11875.0
2002-11-01,20493.0
2002-12-01,31571.0
2003-01-01,53642.0
2003-02-01,56502.0
2003-03-01,43648.0
2003-04-01,38173.0
2003-05-01,24330.0
2003-06-01,20893.0
2003-07-01,17978.0
2003-08-01,14322.0
2003-09-01,13775.0
2003-10-01,14434.0
2003-11-01,19715.0
2003-12-01,31096.0
2004-01-01,41871.0
2004-02-01,63078.0
2004-03-01,55638.0
2004-04-01,42596.0
2004-05-01,34322.0
2004-06-01,31063.0
2004-07-01,25748.0
2004-08-01,17926.0
2004-09-01,14056.0
2004-10-01,20414.0
2004-11-01,24341.0
2004-12-01,36949.0
2005-01-01,62062.0
2005-02-01,53793.0
2005-03-01,50460.0
2005-04-01,33775.0
2005-05-01,28437.0
2005-06-01,26004.0
2005-07-01,19797.0
2005-08-01,15772.0
2005-09-01,18677.0
2005-10-01,22237.0
2005-11-01,26776.0
2005-12-01,52106.0
2006-01-01,43279.0
2006-02-01,45281.0
2006-03-01,53957.0
2006-04-01,46596.0
2006-05-01,27371.0
2006-06-01,22055.0
2006-07-01,19492.0
2006-08-01,16697.0
2006-09-01,17777.0
2006-10-01,24904.0
2006-11-01,27276.0
2006-12-01,54270.0
2007-01-01,91862.0
2007-02-01,87708.0
2007-03-01,49542.0
2007-04-01,34189.0
2007-05-01,28212.0
2007-06-01,23394.0
2007-07-01,22805.0
2007-08-01,18420.0
2007-09-01,12866.0
2007-10-01,12987.0
2007-11-01,22923.0
2007-12-01,28837.0
2008-01-01,36679.0
2008-02-01,61334.0
2008-03-01,61448.0
2008-04-01,50522.0
2008-05-01,35143.0
2008-06-01,27472.0
2008-07-01,20671.0
2008-08-01,22161.0
2008-09-01,15756.0
2008-10-01,20249.0
2008-11-01,25110.0
2008-12-01,36588.0
2009-01-01,52764.0
2009-02-01,63980.0
2009-03-01,45869.0
2009-04-01,47047.0
2009-05-01,30321.0
2009-06-01,24853.0
2009-07-01,27295.0
2009-08-01,23743.0
2009-09-01,31058.0
2009-10-01,35874.0
2009-11-01,36406.0
2009-12-01,60641.0
2010-01-01,69533.0
2010-02-01,58325.0
2010-03-01,52661.0
2010-04-01,44618.0
2010-05-01,28655.0
2010-06-01,22872.0
2010-07-01,20106.0
2010-08-01,15682.0
2010-09-01,13662.0
2010-10-01,21654.0
2010-11-01,28702.0
2010-12-01,43939.0
2011-01-01,75724.0
2011-02-01,49524.0
2011-03-01,85632.0
2011-04-01,54629.0
2011-05-01,33385.0
2011-06-01,27812.0
2011-07-01,24105.0
2011-08-01,23879.0
2011-09-01,16470.0
2011-10-01,24796.0
2011-11-01,26897.0
2011-12-01,43984.0
2012-01-01,72789.0
2012-02-01,48934.0
2012-03-01,36630.0
2012-04-01,31815.0
2012-05-01,29561.0
2012-06-01,38037.0
2012-07-01,26180.0
2012-08-01,17076.0
2012-09-01,14559.0
2012-10-01,14962.0
2012-11-01,22914.0
2012-12-01,27463.0
2013-01-01,49195.0
2013-02-01,59842.0
2013-03-01,51912.0
2013-04-01,54285.0
2013-05-01,30809.0
2013-06-01,40178.0
2013-07-01,32104.0
2013-08-01,20192.0
2013-09-01,17956.0
2013-10-01,25144.0
2013-11-01,23994.0
2013-12-01,42072.0
2014-01-01,30017.0
2014-02-01,22933.0
2014-03-01,34618.0
2014-04-01,33430.0
2014-05-01,22490.0
2014-06-01,25637.0
2014-07-01,17830.0
2014-08-01,15011.0
2014-09-01,14425.0
2014-10-01,13717.0
2014-11-01,18256.0
2014-12-01,34680.0
2015-01-01,22136.0
2015-02-01,34485.0
2015-03-01,42725.0
2015-04-01,36755.0
2015-05-01,29901.0
2015-06-01,22851.0
2015-07-01,28201.0
2015-08-01,15977.0
2015-09-01,20882.0
2015-10-01,19782.0
2015-11-01,31888.0
2015-12-01,42829.0
2016-01-01,79774.0
2016-02-01,58433.0
2016-03-01,64348.0
2016-04-01,37299.0
2016-05-01,33804.0
2016-06-01,37570.0
2016-07-01,22565.0
2016-08-01,21078.0
2016-09-01,18529.0
2016-10-01,19831.0
2016-11-01,27177.0
2016-12-01,36781.0
2017-01-01,43991.0
2017-02-01,49413.0
2017-03-01,45626.0
2017-04-01,39046.0
2017-05-01,38930.0
2017-06-01,33954.0
2017-07-01,20073.0
2017-08-01,17272.0
2017-09-01,12804.0
2017-10-01,15893.0
2017-11-01,31580.0
2017-12-01,44611.0
2018-01-01,62437.0
2018-02-01,57436.0
2018-03-01,59582.0
2018-04-01,48564.0
2018-05-01,30865.0
2018-06-01,24592.0
