Date,Value
2002-01-01,22719.87901889
2002-02-01,23452.70220191
2002-03-01,25133.20122297
2002-04-01,25772.85000018
2002-05-01,24774.47123648
2002-06-01,24626.89848563
2002-07-01,24237.84665085
2002-08-01,25149.89240725
2002-09-01,24970.46791698
2002-10-01,27126.00813181
2002-11-01,26383.89659765
2002-12-01,25636.16088679
2003-01-01,25693.74368213
2003-02-01,27507.62498562
2003-03-01,26389.86064531
2003-04-01,26235.74610292
2003-05-01,25354.74973135
2003-06-01,25326.08679207
2003-07-01,25308.79012101
2003-08-01,25465.21360225
2003-09-01,26242.62583297
2003-10-01,26829.76115583
2003-11-01,26804.53481211
2003-12-01,26662.93697588
2004-01-01,26275.93167958
2004-02-01,26801.95109207
2004-03-01,27520.84330676
2004-04-01,27323.33718104
2004-05-01,26606.2961289
2004-06-01,26579.44844942
2004-07-01,26657.82241229
2004-08-01,27178.62867073
2004-09-01,28426.38831408
2004-10-01,27771.49564556
2004-11-01,28156.10778028
2004-12-01,27695.44342731
2005-01-01,27829.38264771
2005-02-01,28324.55217286
2005-03-01,29329.8892076
2005-04-01,29611.05501377
2005-05-01,27852.86724511
2005-06-01,27921.09989718
2005-07-01,27217.23512095
2005-08-01,28499.19848932
2005-09-01,28242.86740972
2005-10-01,28991.801
2005-11-01,28312.46225833
2005-12-01,28163.79838172
2006-01-01,29410.09740591
2006-02-01,30149.90831548
2006-03-01,30646.27965054
2006-04-01,28994.79536111
2006-05-01,28369.73352151
2006-06-01,28456.18194444
2006-07-01,28707.0993629
2006-08-01,29679.7881586
2006-09-01,29081.09865417
2006-10-01,29255.40004704
2006-11-01,29796.29875
2006-12-01,29725.43664651
2007-01-01,29960.04143817
2007-02-01,30970.75052083
2007-03-01,32676.08855645
2007-04-01,31350.05961111
2007-05-01,29881.48794355
2007-06-01,29542.48468056
2007-07-01,29573.75717742
2007-08-01,30566.27726344
2007-09-01,31166.00001111
2007-10-01,31967.14805108
2007-11-01,31251.06023611
2007-12-01,31206.31552419
2008-01-01,31190.80647043
2008-02-01,31503.22244971
2008-03-01,32245.93611559
2008-04-01,32252.52808333
2008-05-01,30832.63399194
2008-06-01,31221.21134722
2008-07-01,31335.82005376
2008-08-01,32320.3521371
2008-09-01,32087.30625
2008-10-01,32914.4445672
2008-11-01,30936.54510833
2008-12-01,28845.63350806
2009-01-01,29582.48946237
