serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,package,-1,0.6440985,183815.3230782216,65163.94659582975,0.7625526492731274,LOCALLY_SOLVED
2,170,package,-1,0.5805967,576925.3743206126,1.5039781222306404e6,3.9365460706695963,LOCALLY_SOLVED
3,170,package,-1,0.7729151,205156.28789159574,232215.36398427509,1.477984252178504,LOCALLY_SOLVED
4,170,package,-1,0.7891363,4.692856691965383,88.5155881200392,0.23546346947465913,LOCALLY_SOLVED
5,170,package,-1,3.1143202,692.5231899522119,913.394476238198,1.0245968026138057,LOCALLY_SOLVED
6,170,package,-1,1.1092693,9107.514263732744,2002.9648701092212,0.6282093913782181,LOCALLY_SOLVED
7,170,package,-1,0.2264064,2.469798076847602e6,5.33804732645994e6,1.5060126169862236,LOCALLY_SOLVED
8,170,package,-1,0.9553036,69.53130713732642,114.06620507041885,1.2739966207088413,LOCALLY_SOLVED
9,170,package,-1,0.2456554,686.2404293771617,3805.7271315022285,1.1760799504879076,LOCALLY_SOLVED
10,170,package,-1,0.5115704,30.60759289733897,58.05475251816172,0.030284961289285945,LOCALLY_SOLVED
11,170,package,-1,0.1185861,275320.0585717096,319144.768924639,0.8282050118700439,LOCALLY_SOLVED
12,170,package,-1,28.5764745,25354.02560486018,61.197009787131655,0.02594486991565264,LOCALLY_SOLVED
13,170,package,-1,0.5278817,15.521808408012157,180.06954251020917,0.2880845146884228,LOCALLY_SOLVED
14,170,package,-1,0.6623103,9.525512657327718,41.45871333225425,0.21851835261156013,LOCALLY_SOLVED
15,170,package,-1,0.6472171,21.989202598009612,72.94489643964336,0.03843791663145364,LOCALLY_SOLVED
16,170,package,-1,0.5340823,6.1047173294159835e6,8.0277086813440025e6,1.9363513708104594,LOCALLY_SOLVED
17,170,package,-1,0.0982571,9205.580310417068,11437.232680680863,1.6371190643562925,LOCALLY_SOLVED
18,170,package,-1,0.1659987,83794.61361836708,163044.82011013344,2.425870150211398,LOCALLY_SOLVED
19,170,package,-1,0.7609062,1.0724727782661323e6,1.4901597911319337e6,2.1953489516430165,LOCALLY_SOLVED
20,170,package,-1,1.995088,169.87790118833558,379.06085996338527,0.3387768297649009,LOCALLY_SOLVED
21,170,package,-1,0.154875,37302.50449595078,56564.05324226999,1.526757840813619,LOCALLY_SOLVED
