serie,T,modelo,t_create,t_optim,rmse_train,rmse_test,mape_train,mape_test
1,69,modelo 2,2.0788842,4.2171569,31.453864845666633,325.8711424676535,0.7665935759498967,18.87772772970031
1,69,modelo 3,1.9228177,0.6681272,31.446963523003905,335.9846249124641,0.7635618387762059,20.18813675641689
2,256,modelo 2,0.0059292,2.0383175,76.60750780119399,1407.0313136742882,0.9568927793389722,19.300257757697604
2,256,modelo 3,0.0059061,1.1453737,76.43703930642779,1006.186122421842,0.9541968033922684,13.530463457543338
3,290,modelo 2,0.0081233,1.575975,275.5044101761947,5468.2268452276285,2.203226197314517,48.108546268911134
3,290,modelo 3,0.0058817,1.4942642,275.0768476049506,5981.195108378466,2.1952947083560868,52.563285819356906
4,168,modelo 2,0.0038344,1.2872769,293.85712610267313,2698.447543485572,8.002263704483264,123.78561737038562
4,168,modelo 3,0.004254,0.0981772,1694.6069887182803,1041.0365871900894,72.09267830000391,41.47730711623302
5,247,modelo 2,0.0054084,1.8732586,157.39612589985379,393.94500005331776,15.064271824946495,60.52910661821905
5,247,modelo 3,0.0051815,1.1976132,33.961703532950985,424.562477626073,3.339138491488084,66.27793850274593
6,352,modelo 2,0.0069774,1.5567364,13.040968603715955,165.35252831356595,0.9180027319633385,7.632586793923078
6,352,modelo 3,0.0064073,2.3622352,13.053366296988365,134.484101967538,0.9175798277129908,6.201965733731628
7,289,modelo 2,0.006017,1.0517797,19.49161625058298,121.43112605788943,1.6755305378287515,13.967483466732544
7,289,modelo 3,0.0054582,1.9566026,19.462093480993584,121.75832854597995,1.6700357357021272,14.000563026522531
8,175,modelo 2,0.0043469,1.3300078,228.35301923093598,3130.872090859418,2.496916107133205,45.73471442936305
8,175,modelo 3,0.0043288,1.021417,617.3137362861535,22461.685051628658,5.919215895524146,356.54251110134567
9,245,modelo 2,0.0056307,1.9429397,41.63434909429244,600.7662354253121,0.5227118098169883,5.2765873270160455
9,245,modelo 3,0.0064644,1.6082623,29.932952458265966,626.1149552625868,0.34011934698797464,5.559668252999147
10,306,modelo 2,0.0061198,0.7239928,14.514334877858422,27.47500452654131,0.37835700417167717,0.837540048140651
10,306,modelo 3,0.0071854,0.9564962,14.509737989154765,27.5710333186755,0.3777068761711899,0.8404168055026705
11,191,modelo 2,0.0055973,6.1864887,2.9486191611198604,350.5042664789658,0.08833057169266342,11.509953250224042
11,191,modelo 3,0.007487,1.911595,2.948397601497594,347.0468100386384,0.088257681803747,11.389561610899891
12,80,modelo 2,0.0060212,1.9677299,323.20182557271744,3796.3668888428033,3.6045046418607387,78.23744290970035
12,80,modelo 3,0.0048453,1.0082828,322.5103647518183,5878.645642836527,3.599979747952389,119.44825494644553
13,306,modelo 2,0.0125287,3.044473,9.991908548543563,249.12506395602057,0.28240530336412684,7.465997643254946
13,306,modelo 3,0.0110634,3.5160603,9.990773648944455,246.2186727711892,0.28240954663071277,7.37986329665795
14,317,modelo 2,0.0121253,3.2984653,310.15062676358025,6345.399176354007,2.533463983011641,34.16075358809232
14,317,modelo 3,0.0128417,3.7951043,309.37406774472043,1867.4282854093617,2.531982597154166,8.122734252461557
15,69,modelo 2,0.0046191,0.739591,69.4030217392247,2293.2750096776745,1.2430145655969682,45.896835985308314
15,69,modelo 3,0.0045595,0.7862953,69.01938384960255,1847.9317750557236,1.2533662921843536,35.78433630489279
16,174,modelo 2,0.0073522,1.6193447,41.35498734181766,396.0714135182202,1.2270724421457324,10.955177387840763
16,174,modelo 3,0.0417828,1.2645538,41.41603482075016,548.7753085194671,1.2338354594930696,15.763267175948473
17,218,modelo 2,0.0093119,2.2436872,146.47121607217966,2977.5890440117623,1.37561393393848,25.167471540696596
17,218,modelo 3,0.0080762,2.2870307,145.97623621868885,2746.302211039229,1.3586652759669662,23.818631018614905
18,61,modelo 2,0.0047638,0.3253853,361.4267436973491,7749.262110232808,5.6541476186581345,93.9764561375604
18,61,modelo 3,0.0043153,0.5098149,822.3433417325881,108386.21084760372,13.131798911519926,1324.221851299127
19,181,modelo 2,0.0079646,1.194172,9.52026450905166,171.59525512194634,0.40717272395645987,8.985307030575902
19,181,modelo 3,0.0074837,1.4867287,6.7705094692968615,120.26125721080759,0.27795034412542396,6.305118405982213
20,306,modelo 2,0.0119659,2.8013001,31.935826910570803,150.23405218940331,0.2787094449209532,1.3640215537127658
20,306,modelo 3,0.0108128,2.4302525,31.935609760366226,150.0947726568861,0.2786569128834669,1.364822332602333
21,306,modelo 2,0.0127035,1.7595613,9.780221085384536,44.47812061257853,0.5204257079123806,2.3213713170885426
21,306,modelo 3,0.0114191,45.3865448,9.778646708459183,44.57953898186961,0.5194963057959452,2.326557021313447
