serie,T,model,t create,t optim,rmse train,rmse test,mase test
1,200,model 1,0.0135842,55.4208742,493.17160387494886,31693.161281535642,0.3328020331799037
1,200,model 2,0.0052127,0.3806885,498.04455436295024,2.0350724769652903e6,0.24116450219204935
1,200,model 3,0.0049442,0.2576255,1829.3004393324236,2.5639886444076556e6,0.44049396452586326
2,200,model 1,0.0157218,31.0494209,104377.07647555477,69468.07329124237,0.15259122203952594
2,200,model 2,0.0049709,0.0467711,109576.83564833582,2.0350724769652903e6,0.6328656510271307
2,200,model 3,0.0046001,0.0544892,116850.72135516888,2.5639886444076556e6,0.6556102920440751
3,200,model 1,0.0131192,7.8054438,272.3557642381631,9874.878951377577,0.05616758352134603
3,200,model 2,0.005223,0.3425991,406.2778566298672,2.0350724769652903e6,0.16277229754148984
3,200,model 3,0.0052452,0.3713878,275.65828606952454,2.5639886444076556e6,0.06181356132051369
4,200,model 1,0.0147667,8.6115263,0.775440502925672,106.0103482148332,0.2801897361130582
4,200,model 2,0.0046593,6.3648652,0.8278347200547979,2.0350724769652903e6,0.26759399598378014
4,200,model 3,0.0093704,3.6013717,0.8269062807427684,2.5639886444076556e6,0.2640113157291869
5,200,model 1,0.0297757,32.3581466,510.3746785866504,660.6510708565498,0.7295670098343096
5,200,model 2,0.0280346,0.4195524,92.54670716972876,2.0350724769652903e6,1.7676951799115845
5,200,model 3,0.0050347,0.3607682,93.82750280736809,2.5639886444076556e6,18.11705775287835
6,200,model 1,0.0165012,44.024964,2205.6969707564826,2408.855225643216,0.7065478604932366
6,200,model 2,0.0083984,0.4238829,350.79134297029464,2.0350724769652903e6,1.673646844252928
6,200,model 3,0.0088488,0.61686,1251.2314722178714,2.5639886444076556e6,73.84406847636436
7,200,model 1,0.0227466,9.4870484,2970.5016533908038,854535.7780487126,0.2049226819905208
7,200,model 2,0.0050539,0.0802853,588383.1623762517,2.0350724769652903e6,0.2671764695292065
7,200,model 3,0.004849,0.1207872,614938.0768516512,2.5639886444076556e6,0.24489349223031776
8,200,model 1,0.0150429,1.4862653,10.147961455612732,172.89848016764594,2.002647078312031
8,200,model 2,0.0052191,1.0552994,10.222018582239313,2.0350724769652903e6,1.4178593084284317
8,200,model 3,0.0053678,0.7853082,10.104449154081113,2.5639886444076556e6,1.6858002934428635
9,200,model 1,0.0154428,0.957637,79.00970977117998,1238.5152044902995,0.3172115577663968
9,200,model 2,0.0052882,0.8535021,14.175533484048058,2.0350724769652903e6,0.5419354575123628
9,200,model 3,0.0054112,0.903199,14.152460645842172,2.5639886444076556e6,0.5358867257601273
10,200,model 1,0.013978,1.6205036,5.25615507201865,89.88879131047807,0.04964549821249741
10,200,model 2,0.005963,65.7818916,5.293605532060923,2.0350724769652903e6,0.02331912656810659
10,200,model 3,0.0058748,0.881513,5.275082149439906,2.5639886444076556e6,0.05241605088336162
11,200,model 1,0.0132394,26.6733373,274192.846157702,306228.96779996133,0.779113495200431
11,200,model 2,0.0055791,0.1169588,143519.89565227873,2.0350724769652903e6,0.7047616551536076
11,200,model 3,0.0049423,0.3629812,284332.40400353813,2.5639886444076556e6,0.8582547511324526
12,200,model 1,0.0131381,57.0022384,10.511122568618594,337.79571151864934,0.13895123750209765
12,200,model 2,0.0055458,0.8718132,12.688771067912892,2.0350724769652903e6,0.01460219209451806
12,200,model 3,0.0054216,0.8621544,12.6336792582731,2.5639886444076556e6,0.014580916057497355
13,200,model 1,0.0132301,3.0524949,1.8100150333806813,241.79232397633294,0.3827239211080013
13,200,model 2,0.0061537,4.7424061,1.826538798623129,2.0350724769652903e6,0.3970475539854608
13,200,model 3,0.0049665,195.1920898,3.5652220209736867,2.5639886444076556e6,0.1572707048617193
14,200,model 1,0.0353897,1.9273604,0.9816375106798547,17.90211438441046,0.09985030282360247
14,200,model 2,0.0049313,4.0606465,1.1273830863404586,2.0350724769652903e6,0.16088542497092642
14,200,model 3,0.0058353,2.2544655,1.1207706352168225,2.5639886444076556e6,0.13723556074149312
15,200,model 1,0.0143432,4.5159238,3.4893619104081695,186.35788489388054,0.10727791640616781
15,200,model 2,0.0060012,0.9324225,3.520040358822441,2.0350724769652903e6,0.12389585633352727
15,200,model 3,0.0056219,0.2088622,12.053875464474363,2.5639886444076556e6,0.05761628681192904
16,200,model 1,0.0153437,22.3202415,58056.12872608519,484646.26588824217,0.0969087127453325
16,200,model 2,0.0051045,0.1875773,485047.87397317577,2.0350724769652903e6,0.4376948497924808
16,200,model 3,0.0060735,0.1155275,650781.7416835157,2.5639886444076556e6,0.5376094458339117
17,200,model 1,0.0128582,54.3616111,1490.8106814087994,75381.38363944813,12.987569895994824
17,200,model 2,0.0050082,0.4221572,1494.9417460961263,2.0350724769652903e6,17.40103672751208
17,200,model 3,0.0053477,0.446832,1469.6781380950297,2.5639886444076556e6,25.900059191926317
18,200,model 1,0.036803,27.7215839,83175.84502860537,160870.11174306824,2.466348798217341
18,200,model 2,0.0051387,0.1218785,85105.95640879472,2.0350724769652903e6,4.772490336369785
18,200,model 3,0.0046253,0.121885,75036.1293029339,2.5639886444076556e6,3.1291023473135726
19,200,model 1,0.0152916,48.724682,448.8513558118575,105784.19025194127,0.12299862512125606
19,200,model 2,0.0051829,0.0490553,65225.63599517557,2.0350724769652903e6,0.22733522960981822
19,200,model 3,0.0047359,0.0564217,64297.26896418957,2.5639886444076556e6,0.2233725683131171
20,200,model 1,0.0136539,1.3203304,132.90733262286267,199.33345892223315,0.16420694704793382
20,200,model 2,0.0057383,0.5662854,13.577372818568023,2.0350724769652903e6,0.1655719158386446
20,200,model 3,0.0053439,0.6515659,19.595454778042033,2.5639886444076556e6,0.6637628143833797
21,200,model 1,0.013361,6.8957069,1294.6332028840823,39063.29849162528,1.0168729982213127
21,200,model 2,0.005348,0.3934124,834.045541801367,2.0350724769652903e6,3.4100478643310543
21,200,model 3,0.0060086,0.8686067,1490.6830475205045,2.5639886444076556e6,0.5205327781836039
22,200,model 1,0.0134415,49.0636787,0.021941363852023818,0.549084018484699,0.0005391797231891944
22,200,model 2,0.0052126,15.1506841,0.11577886549123426,2.0350724769652903e6,0.003390138517807501
22,200,model 3,0.00498,11.3713261,0.11565443989841602,2.5639886444076556e6,0.0035080334950486542
23,200,model 1,0.0122825,17.7395649,3.709151393657053,846.0742934844448,0.6211291507519232
23,200,model 2,0.0050187,1.0167308,3.4850204103974938,2.0350724769652903e6,0.07898597585181814
23,200,model 3,0.0055153,1.582436,3.4809062072771053,2.5639886444076556e6,0.08010898317652908
