serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model 1,0.126219,0.2879697,115890.30336402314,2.7273930784879313e6,27.289008569868603,LOCALLY_SOLVED
1,170,model 2,0.1344581,0.3732882,154629.07021572694,626067.8667784623,5.905948561783103,LOCALLY_SOLVED
1,170,model 3,0.1670723,0.4155943,161555.6756678003,2.715243273204991e6,27.00936770327163,LOCALLY_SOLVED
2,170,model 1,0.014121,0.1545556,371645.7582972157,3.633758841005144e7,81.5581839741348,LOCALLY_SOLVED
2,170,model 2,0.0046832,0.4359066,509902.02837025496,3.4779021229248494e7,78.11724669169715,LOCALLY_SOLVED
2,170,model 3,0.0048737,0.5215987,425388.80521156103,3.498086984229845e7,82.6726617842832,LOCALLY_SOLVED
3,170,model 1,0.0155372,0.7521519,76721.8633484461,6.910557147167379e6,39.607816125558486,LOCALLY_SOLVED
3,170,model 2,0.0056963,0.3319227,81586.31828126895,6.096192371099371e6,33.32823524108366,LOCALLY_SOLVED
3,170,model 3,0.0051047,0.2496007,76045.62564410975,4.562304180394496e6,25.897136453384334,LOCALLY_SOLVED
4,170,model 1,0.3931187,0.8861062,0.009080830662831614,110.0365506580211,0.2907288526678244,LOCALLY_SOLVED
4,170,model 2,0.0051447,1.1716175,0.009707003886949032,106.01423698429667,0.2835943692406965,LOCALLY_SOLVED
4,170,model 3,0.0214656,1.0999082,0.009695466646681807,103.49210281512498,0.27639846961470543,LOCALLY_SOLVED
5,170,model 1,0.0159351,0.7337312,514.666120052869,5982.909504494008,6.68291294204341,LOCALLY_SOLVED
5,170,model 2,0.0055026,2.0167163,542.457964635765,6342.825770073473,7.036662566133718,LOCALLY_SOLVED
5,170,model 3,0.0050163,0.9907975,524.827363360371,2572.152348447137,2.9406239865737094,LOCALLY_SOLVED
6,170,model 1,0.0148513,0.1963071,2331.6966279883454,58505.099324357674,18.420903979200315,LOCALLY_SOLVED
6,170,model 2,0.004826,0.0793888,2338.3121416336166,56871.282654346214,17.916125696369612,LOCALLY_SOLVED
6,170,model 3,0.0051563,0.5965813,2286.5755091555893,35907.78602716755,11.284768734899238,LOCALLY_SOLVED
7,170,model 1,0.0157776,1.2977093,2.4497911316061704e6,2.1073791077059537e8,52.836746951898725,LOCALLY_SOLVED
7,170,model 2,0.0047301,0.1594351,2.429752666620821e6,1.8014295037979496e8,43.00924083452734,LOCALLY_SOLVED
