serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model 1,0.1569351,0.9146157,157759.48648050532,984162.48485491,10.378958902856134,LOCALLY_SOLVED
1,170,model 2,0.1396023,0.1933085,253235.48730178148,1.0912864023356728e7,113.25735615346954,LOCALLY_SOLVED
1,170,model 3,0.1517832,0.4067829,156910.88043592699,117725.76808086406,1.1948394711028436,LOCALLY_SOLVED
2,170,model 1,0.0147462,0.6777973,425630.15448332485,4.392067094710314e7,98.58056520036901,LOCALLY_SOLVED
2,170,model 2,0.0041689,0.0264153,435900.5906356329,2.0871896134339178e6,5.30507277079218,LOCALLY_SOLVED
2,170,model 3,0.0044414,0.0366259,426159.5554995175,2.1792359609407154e6,5.5341920867605126,LOCALLY_SOLVED
3,170,model 1,0.014756,0.7149328,80768.47695047189,6.339109553566032e6,34.72004231087164,LOCALLY_SOLVED
3,170,model 2,0.004926,0.2630653,83910.81624572095,6.567614137246272e6,35.904843881961234,LOCALLY_SOLVED
3,170,model 3,0.0394903,0.3836379,80770.57991530537,6.319767881797871e6,34.551936198334175,LOCALLY_SOLVED
4,170,model 1,0.0144752,0.7884415,9.102183467383514e-5,110.83308377110595,0.2931766838010323,LOCALLY_SOLVED
4,170,model 2,0.0044798,0.3793217,0.00010637604448033036,175.17328023215853,0.47688044029810767,LOCALLY_SOLVED
4,170,model 3,0.0049991,0.7427922,0.00010205260674716895,107.44862612062032,0.2910198138175132,LOCALLY_SOLVED
5,170,model 1,0.0161167,0.1883628,890.5531994599112,79642.64451779342,86.90939355315341,LOCALLY_SOLVED
5,170,model 2,0.0314335,0.5334795,889.6734599923165,73524.5705598398,78.78935245189783,LOCALLY_SOLVED
5,170,model 3,0.0050479,0.7317611,885.7576250822397,71845.80724435743,76.9949788623738,LOCALLY_SOLVED
6,170,model 1,0.0144034,0.2584704,2679.1757127797227,186217.96540932116,58.41178088240534,LOCALLY_SOLVED
6,170,model 2,0.0043938,0.2330535,2679.8599636167414,185121.21517971478,58.03393391031426,LOCALLY_SOLVED
6,170,model 3,0.0060655,0.3455189,2678.3546750125097,185568.83228853246,58.172146295341136,LOCALLY_SOLVED
7,170,model 1,0.0206121,0.5884727,2.6458168311276636e6,1.8527260353086928e8,44.689891095899014,LOCALLY_SOLVED
7,170,model 2,0.0049371,0.0378353,2.5213460815015603e6,7.92955054167734e6,1.8459340301345635,LOCALLY_SOLVED
7,170,model 3,0.0054572,0.0498218,2.502963171469695e6,1.0261154711152177e7,2.39403295229286,LOCALLY_SOLVED
8,170,model 1,0.0147206,0.4343858,70.00960787051814,446.76148015781365,5.128785201596097,LOCALLY_SOLVED
8,170,model 2,0.0047795,0.2436115,70.44816373612002,457.7967290878393,5.296242583409585,LOCALLY_SOLVED
8,170,model 3,0.0056168,0.3261683,70.09384634248612,511.13862900572934,5.931896644899783,LOCALLY_SOLVED
9,170,model 1,0.0135875,0.6882175,2609.7394274210556,31793.630009157474,8.955793126280899,LOCALLY_SOLVED
9,170,model 2,0.0043678,1.8978189,2682.878927234288,39229.89067934093,11.070593416256205,LOCALLY_SOLVED
9,170,model 3,0.0058606,0.537618,2609.3309697327777,32465.56778427494,9.145124925475272,LOCALLY_SOLVED
10,170,model 1,0.0148657,0.2292694,33.218443821277646,827.783724833661,0.41598332606791116,LOCALLY_SOLVED
10,170,model 2,0.0055386,0.1479472,33.559487154363254,838.1873830055824,0.4208997332092731,LOCALLY_SOLVED
10,170,model 3,0.004324,0.2554635,33.37760316659599,809.6470778536677,0.4066901073465495,LOCALLY_SOLVED
11,170,model 1,0.0148598,0.9946712,274653.93340560043,1.18405078903968e7,31.824649538132114,LOCALLY_SOLVED
11,170,model 2,0.0043724,0.0484681,291518.23451984295,3.7106024410065254e6,10.232150855478151,LOCALLY_SOLVED
11,170,model 3,0.0044635,0.0648574,278513.61387981684,5.1527689857276315e6,14.296678128084219,LOCALLY_SOLVED
12,170,model 1,0.0140122,0.3548953,272.4323465255919,16977.012812215984,8.15197873175885,LOCALLY_SOLVED
12,170,model 2,0.0047903,0.7987541,273.33447016360077,17281.77892710933,8.300549946501423,LOCALLY_SOLVED
12,170,model 3,0.0048188,0.2872062,271.9334370996856,16988.484862874822,8.159639227906638,LOCALLY_SOLVED
13,170,model 1,0.0155093,0.4071598,32.92302310953661,2359.8950370893026,3.693690191295688,LOCALLY_SOLVED
13,170,model 2,0.0330127,0.3201141,33.45618049280152,2388.38475924667,3.739104350164164,LOCALLY_SOLVED
13,170,model 3,0.0054075,0.2901615,33.15694033242044,2390.4676358441393,3.742401997984126,LOCALLY_SOLVED
14,170,model 1,0.0178486,0.8404916,0.00011825865147856748,21.262153057221578,0.10633037120732283,LOCALLY_SOLVED
14,170,model 2,0.0053829,0.5744433,0.0001361491445109184,56.48113774027461,0.3046073817327876,LOCALLY_SOLVED
14,170,model 3,0.0049445,0.5382998,0.00034514434619921044,188.22883523551843,1.1139256333437013,LOCALLY_SOLVED
15,170,model 1,0.0165168,0.3705633,24.21243465738281,1952.4670906699382,0.9904305559456266,LOCALLY_SOLVED
15,170,model 2,0.0045679,0.2465371,26.36082470005316,2276.5987274089925,1.2116388860737894,LOCALLY_SOLVED
15,170,model 3,0.0048931,0.6098288,25.973862149310996,2247.443373053468,1.1961801959080995,LOCALLY_SOLVED
16,170,model 1,0.050459,0.5470118,6.163154838723075e6,2.2751890905678836e8,47.39013940462156,LOCALLY_SOLVED
16,170,model 2,0.0043628,0.0430311,6.244802909843814e6,3.7317607708723426e7,7.484685093153676,LOCALLY_SOLVED
16,170,model 3,0.0044481,0.0622612,6.129344123976978e6,3.4906955424262336e6,0.717895259179944,LOCALLY_SOLVED
17,170,model 1,0.0477931,0.5910726,9270.18400424515,715336.5173891335,113.25485781628778,LOCALLY_SOLVED
17,170,model 2,0.0043259,0.0340217,9303.900326843941,432775.7850984719,72.07834801489685,LOCALLY_SOLVED
17,170,model 3,0.0051187,0.0449949,9204.055687327007,424357.43974895455,70.69439671437105,LOCALLY_SOLVED
18,170,model 1,0.0451948,0.6377127,83147.9063056983,166756.44577005706,2.539809982460954,LOCALLY_SOLVED
18,170,model 2,0.0055497,0.0519328,83875.1403102509,174859.6454271624,2.6576041070011764,LOCALLY_SOLVED
18,170,model 3,0.0042695,0.067643,118774.3482201273,576327.5131575,9.156305254038156,LOCALLY_SOLVED
19,170,model 1,0.0137613,0.6494512,644097.7793661183,5.470864330704134e7,70.54130494999133,LOCALLY_SOLVED
19,170,model 2,0.0041364,0.0272965,661241.243145347,2.66455552999646e6,3.7510076831490653,LOCALLY_SOLVED
19,170,model 3,0.005439,0.034995,645080.9010513237,3.002336912291349e6,4.203625789162262,LOCALLY_SOLVED
20,170,model 1,0.0142534,0.3170006,816.3014424116787,16771.014038879737,14.213228745243505,LOCALLY_SOLVED
20,170,model 2,0.0042595,0.3269273,820.7600979877851,17692.459846314992,14.985562664832772,LOCALLY_SOLVED
20,170,model 3,0.0054964,1.1643745,816.2384623539131,16618.28410194924,14.083327129598866,LOCALLY_SOLVED
21,170,model 1,0.0147294,0.7331881,40963.71769475282,3.632873611617839e6,85.54996735142814,LOCALLY_SOLVED
21,170,model 2,0.0054121,0.2710354,41407.376687979835,3.50212142051374e6,80.93912700843376,LOCALLY_SOLVED
21,170,model 3,0.0044649,0.4381211,40996.04909018653,3.437745337110526e6,79.4523976848344,LOCALLY_SOLVED
22,170,model 1,0.0137295,1.0901234,3.2236786981348063e-6,2.425293191580489,0.0025362793545747045,LOCALLY_SOLVED
22,170,model 2,0.0057855,0.4140193,2.6323055815191074e-5,6.000179172113675,0.005511676871697688,LOCALLY_SOLVED
22,170,model 3,0.0044285,0.6037681,0.0004633781950129066,1.9606064346305996,0.001837795373254072,LOCALLY_SOLVED
23,170,model 1,0.0133903,0.3862067,20.611719442090937,612.8478612764284,0.4366681984964087,LOCALLY_SOLVED
23,170,model 2,0.0058865,0.275894,20.68244373870537,593.0460567133897,0.4225429029538,LOCALLY_SOLVED
23,170,model 3,0.0076332,0.3604885,23.67895273006634,485.6116413712409,0.36404699326603346,LOCALLY_SOLVED
24,170,model 1,0.0392706,0.7987234,9.102183467383514e-5,110.83308377110595,0.2931766838010323,LOCALLY_SOLVED
24,170,model 2,0.0044064,0.3113167,0.00010637604448033036,175.17328023215853,0.47688044029810767,LOCALLY_SOLVED
24,170,model 3,0.0048427,0.7517536,0.00010205260674716895,107.44862612062032,0.2910198138175132,LOCALLY_SOLVED
25,170,model 1,0.0150604,0.4135888,24.21243465738281,1952.4670906699382,0.9904305559456266,LOCALLY_SOLVED
25,170,model 2,0.0044727,0.2517542,26.36082470005316,2276.5987274089925,1.2116388860737894,LOCALLY_SOLVED
25,170,model 3,0.029375,0.5643943,25.973862149310996,2247.443373053468,1.1961801959080995,LOCALLY_SOLVED
26,170,model 1,0.0156722,0.6435092,644097.7793661183,5.470864330704134e7,70.54130494999133,LOCALLY_SOLVED
26,170,model 2,0.004397,0.0281743,661241.243145347,2.66455552999646e6,3.7510076831490653,LOCALLY_SOLVED
26,170,model 3,0.0045517,0.0347208,645080.9010513237,3.002336912291349e6,4.203625789162262,LOCALLY_SOLVED
27,170,model 1,0.0134067,0.4655878,6412.971897481001,75803.76534982766,9.46857170275738,LOCALLY_SOLVED
27,170,model 2,0.0049491,0.1945892,6447.88616770106,83179.94074395174,10.423788543452766,LOCALLY_SOLVED
27,170,model 3,0.0055133,0.2205274,6412.258739798758,75834.771283746,9.47426608238295,LOCALLY_SOLVED
28,170,model 1,0.0140186,0.3201282,57.8410080543643,1073.3279896281315,4.2454746121135924,LOCALLY_SOLVED
28,170,model 2,0.0052605,0.2158081,57.61393744195771,1028.0892291289863,4.059861572244256,LOCALLY_SOLVED
28,170,model 3,0.00482,0.2900988,57.58445632268189,1002.3552939786113,3.959214233160198,LOCALLY_SOLVED
29,170,model 1,0.0155748,0.7184236,80768.47695047189,6.339109553566032e6,34.72004231087164,LOCALLY_SOLVED
29,170,model 2,0.0046098,0.2757973,83910.81624572095,6.567614137246272e6,35.904843881961234,LOCALLY_SOLVED
29,170,model 3,0.0053125,0.3805008,80770.57991530537,6.319767881797871e6,34.551936198334175,LOCALLY_SOLVED
30,170,model 1,0.0132384,0.4831278,42.78934139983635,571.5410377752586,0.19873781997524048,LOCALLY_SOLVED
30,170,model 2,0.0052797,0.0251425,43.72640672451245,38.63485507738107,0.012535774948686676,LOCALLY_SOLVED
30,170,model 3,0.0051769,0.0412271,43.71510403789781,41.63745751032494,0.014964389250883305,LOCALLY_SOLVED
31,170,model 1,0.0136807,0.5001897,202.9168923862192,11054.452893045524,8.537273299187673,LOCALLY_SOLVED
31,170,model 2,0.0063738,0.3491213,201.93669918570242,11204.333844821671,8.674030041132054,LOCALLY_SOLVED
31,170,model 3,0.0044539,0.311077,201.88570494864746,11156.609799652024,8.636798642656803,LOCALLY_SOLVED
32,170,model 1,0.01443,0.3394891,577.6351232577509,2157.795622806721,1.2625898510733347,LOCALLY_SOLVED
32,170,model 2,0.0054619,0.7991797,579.0892118357681,2561.9348235158186,1.487335301121484,LOCALLY_SOLVED
32,170,model 3,0.005326,0.4355139,578.0130070484291,2213.7361230161246,1.29618650666323,LOCALLY_SOLVED
33,170,model 1,0.0168128,0.789643,9.102183467383514e-5,110.83308377110595,0.2931766838010323,LOCALLY_SOLVED
33,170,model 2,0.0044478,0.3102151,0.00010637604448033036,175.17328023215853,0.47688044029810767,LOCALLY_SOLVED
33,170,model 3,0.0063584,0.7047057,0.00010205260674716895,107.44862612062032,0.2910198138175132,LOCALLY_SOLVED
34,170,model 1,0.0154698,0.5008844,1645.279428075041,313460.48250087706,106.18734455744715,LOCALLY_SOLVED
34,170,model 2,0.0051644,4.8749594,1671.8631036870038,316371.633762617,107.171815896417,LOCALLY_SOLVED
34,170,model 3,0.0046346,1.9202985,1649.2195158565646,316975.9452502564,107.36007565267822,LOCALLY_SOLVED
35,170,model 1,0.0165572,0.7639568,2.792301155095767e-5,4.153665089851203,0.003872611440273578,LOCALLY_SOLVED
35,170,model 2,0.0051428,0.328094,0.0001108687226697812,12.385085148891907,0.010410545709830403,LOCALLY_SOLVED
35,170,model 3,0.0046385,0.3727887,2.497565895306054,5.983284874878108,0.005241398263069603,LOCALLY_SOLVED
36,170,model 1,0.0147828,0.2081677,2679.1757127797227,186217.96540932116,58.41178088240534,LOCALLY_SOLVED
36,170,model 2,0.0055637,0.224389,2679.8599636167414,185121.21517971478,58.03393391031426,LOCALLY_SOLVED
36,170,model 3,0.0050752,0.3961481,2678.3546750125097,185568.83228853246,58.172146295341136,LOCALLY_SOLVED
37,170,model 1,0.013845,0.3614745,272.4323465255919,16977.012812215984,8.15197873175885,LOCALLY_SOLVED
37,170,model 2,0.0052995,0.8424271,273.33447016360077,17281.77892710933,8.300549946501423,LOCALLY_SOLVED
37,170,model 3,0.0044222,0.2887722,271.9334370996856,16988.484862874822,8.159639227906638,LOCALLY_SOLVED
38,170,model 1,0.0149957,0.3350269,24.21243465738281,1952.4670906699382,0.9904305559456266,LOCALLY_SOLVED
38,170,model 2,0.0045255,0.2497931,26.36082470005316,2276.5987274089925,1.2116388860737894,LOCALLY_SOLVED
38,170,model 3,0.0047942,0.5731076,25.973862149310996,2247.443373053468,1.1961801959080995,LOCALLY_SOLVED
39,170,model 1,0.0424712,0.4395082,70.00960787051814,446.76148015781365,5.128785201596097,LOCALLY_SOLVED
39,170,model 2,0.0043447,0.2360079,70.44816373612002,457.7967290878393,5.296242583409585,LOCALLY_SOLVED
39,170,model 3,0.0044385,0.2958715,70.09384634248612,511.13862900572934,5.931896644899783,LOCALLY_SOLVED
40,170,model 1,0.0154044,0.406391,2.5469268026500977e-5,0.6631076411092076,0.00043400739263692366,LOCALLY_SOLVED
40,170,model 2,0.0046147,0.463291,5.6676322916659725e-5,17.641901192490963,0.011457866137336183,LOCALLY_SOLVED
40,170,model 3,0.0049127,0.8268584,5.6512225432466345e-5,11.506229456468722,0.0075530327911577716,LOCALLY_SOLVED
41,170,model 1,0.0157222,1.2289204,2.0239041368886036e-5,6.1294966466641325,0.004121981992141645,LOCALLY_SOLVED
41,170,model 2,0.004767,0.3120417,5.359770616549201e-5,33.50421587818871,0.02252573485963754,LOCALLY_SOLVED
41,170,model 3,0.0049555,0.4693682,0.00012982399760649654,75.32231261658923,0.05056255810339824,LOCALLY_SOLVED
42,170,model 1,0.0153589,0.4235209,1027.4361112203167,49256.5917348208,36.12628736352971,LOCALLY_SOLVED
42,170,model 2,0.0047282,0.4498522,1027.3158871486085,48982.344768455434,35.91621822221207,LOCALLY_SOLVED
42,170,model 3,0.0066139,0.3320661,1027.8710085708026,49451.119855633755,36.256017266068014,LOCALLY_SOLVED
43,170,model 1,0.0159115,0.2674667,244.95359167349744,5466.49581710821,4.78098557493772,LOCALLY_SOLVED
43,170,model 2,0.0045559,0.473431,247.98429919437388,5924.049924040081,5.1842360432375,LOCALLY_SOLVED
43,170,model 3,0.0043304,0.2641317,244.92119694642105,5529.063655164518,4.833630462366797,LOCALLY_SOLVED
44,170,model 1,0.0143803,0.5928148,4799.980950147762,574817.0405683105,194.5790683186644,LOCALLY_SOLVED
44,170,model 2,0.004509,0.3437516,4840.724529676484,571910.1596413747,193.71720545324638,LOCALLY_SOLVED
44,170,model 3,0.0044578,0.384683,4799.890944511319,565028.0252219577,191.39091293223296,LOCALLY_SOLVED
45,170,model 1,0.0152487,0.627129,425630.15448332485,4.392067094710314e7,98.58056520036901,LOCALLY_SOLVED
45,170,model 2,0.004351,0.0262197,435900.5906356329,2.0871896134339178e6,5.30507277079218,LOCALLY_SOLVED
45,170,model 3,0.0051258,0.0350148,426159.5554995175,2.1792359609407154e6,5.5341920867605126,LOCALLY_SOLVED
46,170,model 1,0.0138257,0.3419565,20.611719442090937,612.8478612764284,0.4366681984964087,LOCALLY_SOLVED
46,170,model 2,0.0053791,0.2770476,20.68244373870537,593.0460567133897,0.4225429029538,LOCALLY_SOLVED
46,170,model 3,0.0058514,0.3554879,23.67895273006634,485.6116413712409,0.36404699326603346,LOCALLY_SOLVED
47,170,model 1,0.0154652,0.3383701,2.6844753376735145e8,2.2269646261188284e8,7.678987495591261,LOCALLY_SOLVED
47,170,model 2,0.0045948,0.0039474,1.0639278820808348e8,1.7412737388398993e8,6.260162200878347,NORM_LIMIT
47,170,model 3,0.0046552,0.0047463,2.9865138534648736e-6,1.6727740694948736e8,6.085779791519907,NORM_LIMIT
48,170,model 1,0.0137682,0.3106004,179.02982335326035,13832.32398691871,75.93122984402048,LOCALLY_SOLVED
48,170,model 2,0.0046079,0.2011731,185.52185720003718,13470.477865507672,73.93516268719858,LOCALLY_SOLVED
48,170,model 3,0.0049996,0.4627332,179.0436506253179,13830.991161912745,75.92353751140571,LOCALLY_SOLVED
49,170,model 1,0.0149386,1.0748517,3.2236786981348063e-6,2.425293191580489,0.0025362793545747045,LOCALLY_SOLVED
49,170,model 2,0.0043654,0.4037035,2.6323055815191074e-5,6.000179172113675,0.005511676871697688,LOCALLY_SOLVED
49,170,model 3,0.0048065,0.5813425,0.0004633781950129066,1.9606064346305996,0.001837795373254072,LOCALLY_SOLVED
50,170,model 1,0.0166722,0.5482289,176981.51415802975,2.050574784087085e7,109.65401753693449,LOCALLY_SOLVED
50,170,model 2,0.0056078,0.2322875,295060.0984073112,2.6644247571916673e7,148.78362674852875,LOCALLY_SOLVED
50,170,model 3,0.0047855,0.3860823,180152.6768030702,2.550292044212613e7,143.04728799924135,LOCALLY_SOLVED
51,170,model 1,0.0138044,0.6146526,248.64736915106207,11942.151886401743,50.201568206572006,LOCALLY_SOLVED
51,170,model 2,0.0057142,0.0382234,265.54111486382857,817.4820674689828,3.900444434174995,LOCALLY_SOLVED
51,170,model 3,0.0048377,0.1129134,361.9288346735927,37634.721166484356,158.7527577037699,LOCALLY_SOLVED
52,170,model 1,0.0143034,0.3241006,5.932893403341135e-5,15.712414711980662,0.028170623903973267,LOCALLY_SOLVED
52,170,model 2,0.004485,0.5872613,2.8529579006684216e-5,4.202345156298215,0.008318697442239419,LOCALLY_SOLVED
52,170,model 3,0.0048572,7.9229131,2.8446731980719122e-5,10.683828525702362,0.021657340417941744,LOCALLY_SOLVED
53,170,model 1,0.0154686,0.3774077,20.611719442090937,612.8478612764284,0.4366681984964087,LOCALLY_SOLVED
53,170,model 2,0.0045626,0.2802515,20.68244373870537,593.0460567133897,0.4225429029538,LOCALLY_SOLVED
53,170,model 3,0.0043713,0.3582548,23.67895273006634,485.6116413712409,0.36404699326603346,LOCALLY_SOLVED
54,170,model 1,0.0428419,0.7917969,63848.92657334222,232296.18710713048,5.149542088338423,LOCALLY_SOLVED
54,170,model 2,0.0045898,0.0412446,63910.10836455049,78299.3679569412,1.732556856401647,LOCALLY_SOLVED
54,170,model 3,0.0045914,0.0610757,63816.285555384966,158612.7452950347,3.4892761599041515,LOCALLY_SOLVED
55,170,model 1,0.0426019,0.2234452,492.0959182702045,35680.605563776444,16.46290231300519,LOCALLY_SOLVED
55,170,model 2,0.0051338,0.2464206,495.05004014481324,34624.47012026341,15.976193574946581,LOCALLY_SOLVED
55,170,model 3,0.0055515,0.3651904,492.16220472649127,35680.82492526758,16.462557944622674,LOCALLY_SOLVED
56,170,model 1,0.0135191,0.4157209,70.00960787051814,446.76148015781365,5.128785201596097,LOCALLY_SOLVED
56,170,model 2,0.0042027,0.2315961,70.44816373612002,457.7967290878393,5.296242583409585,LOCALLY_SOLVED
56,170,model 3,0.0044508,0.2938784,70.09384634248612,511.13862900572934,5.931896644899783,LOCALLY_SOLVED
57,170,model 1,0.0150873,0.112736,2.954332697795024e7,3.602952061535513e7,1.1594060798052415,LOCALLY_SOLVED
57,170,model 2,0.0050111,0.0308865,3.003164554081863e7,2.2774247789463377e8,6.0172030050490655,LOCALLY_SOLVED
57,170,model 3,0.0042256,0.0434126,2.944829290250727e7,2.1198872195221338e8,5.637322854994036,LOCALLY_SOLVED
58,170,model 1,0.013944,0.6707249,36668.396293291764,1.8040635618103757e6,36.451718305006956,LOCALLY_SOLVED
58,170,model 2,0.0042913,0.2502792,37057.86692589009,1.8043280167181967e6,36.399986688449395,LOCALLY_SOLVED
58,170,model 3,0.0073382,0.4505061,36662.05641978273,1.7453405474445275e6,35.20326337464071,LOCALLY_SOLVED
59,170,model 1,0.0156384,0.543488,171.2708501108334,8486.98688142448,5.135556253085142,LOCALLY_SOLVED
59,170,model 2,0.0043046,0.2721335,173.14031885424936,8780.644075415124,5.314751886578032,LOCALLY_SOLVED
59,170,model 3,0.005053,0.0318103,171.36446783775693,276.7604206158048,0.1696434692658693,LOCALLY_SOLVED
60,170,model 1,0.0139208,0.2633716,273.2191851999125,33270.18879013019,116.2838642742483,LOCALLY_SOLVED
60,170,model 2,0.0050829,0.5177299,274.1422520347,33652.544207476654,117.61643595582558,LOCALLY_SOLVED
60,170,model 3,0.0045916,0.2572334,273.308133377637,33258.49425811213,116.24229753684175,LOCALLY_SOLVED
61,170,model 1,0.0138095,0.1986911,2679.1757127797227,186217.96540932116,58.41178088240534,LOCALLY_SOLVED
61,170,model 2,0.0050635,0.2244667,2679.8599636167414,185121.21517971478,58.03393391031426,LOCALLY_SOLVED
61,170,model 3,0.0044074,0.3466212,2678.3546750125097,185568.83228853246,58.172146295341136,LOCALLY_SOLVED
62,170,model 1,0.0156199,0.2943293,248.2644027644388,20832.591237070254,8.6026554026551,LOCALLY_SOLVED
62,170,model 2,0.0052362,0.474456,247.14159037438276,20862.122552910274,8.619103482917435,LOCALLY_SOLVED
62,170,model 3,0.0050119,0.3905168,247.1491151396211,20894.074453522553,8.632480632819782,LOCALLY_SOLVED
63,170,model 1,0.0416369,0.2756982,280.29063126607315,2685.0151697528677,1.0269318874189528,LOCALLY_SOLVED
63,170,model 2,0.0045223,0.5358131,281.2481139256937,2494.6028319956326,0.9539464602273038,LOCALLY_SOLVED
63,170,model 3,0.0048081,0.3124094,280.7585414401421,2671.018133605154,1.019772472545469,LOCALLY_SOLVED
64,170,model 1,0.0136719,0.7948623,63848.92657334222,232296.18710713048,5.149542088338423,LOCALLY_SOLVED
64,170,model 2,0.004243,0.039195,63910.10836455049,78299.3679569412,1.732556856401647,LOCALLY_SOLVED
64,170,model 3,0.0049617,0.0872817,63816.285555384966,158612.7452950347,3.4892761599041515,LOCALLY_SOLVED
65,170,model 1,0.0138177,0.1483088,7933.55860916104,651199.4111014863,56.81263455194997,LOCALLY_SOLVED
65,170,model 2,0.0046519,0.1680182,8082.80012606818,638130.6204035379,55.750156792068175,LOCALLY_SOLVED
65,170,model 3,0.0294379,0.1765227,7931.836439816685,655046.3514196397,57.2221531402489,LOCALLY_SOLVED
66,170,model 1,0.017086,0.8225379,157759.48648050532,984162.48485491,10.378958902856134,LOCALLY_SOLVED
66,170,model 2,0.004466,0.1995761,253235.48730178148,1.0912864023356728e7,113.25735615346954,LOCALLY_SOLVED
66,170,model 3,0.0045805,0.3623842,156910.88043592699,117725.76808086406,1.1948394711028436,LOCALLY_SOLVED
67,170,model 1,0.0150505,0.3327199,57.8410080543643,1073.3279896281315,4.2454746121135924,LOCALLY_SOLVED
