serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
1,170,model 1,0.0154954,123.4045183,156061.0194554371,590765.2961528988,5.8841435549885475,ITERATION_LIMIT
1,170,model 2,0.676734,0.3780238,253235.48730178148,1.0912864023356728e7,113.25735615346954,LOCALLY_SOLVED
1,170,model 3,0.3270614,0.6487247,156910.88043592699,117725.76808086406,1.1948394711028436,LOCALLY_SOLVED
2,170,model 1,0.098499,19.2679731,425608.1246036583,4.377957769400565e7,98.24105076310039,ALMOST_LOCALLY_SOLVED
2,170,model 2,0.0085828,0.0458049,435900.5906356329,2.0871896134339178e6,5.30507277079218,LOCALLY_SOLVED
2,170,model 3,0.008833,0.0609773,426159.5554995175,2.1792359609407154e6,5.5341920867605126,LOCALLY_SOLVED
3,170,model 1,0.025832,126.4502707,80768.39031652104,6.339646814655178e6,34.72307794859254,ITERATION_LIMIT
3,170,model 2,0.0048448,0.2706785,83910.81624572095,6.567614137246272e6,35.904843881961234,LOCALLY_SOLVED
3,170,model 3,0.005113,0.4157799,80770.57991530537,6.319767881797871e6,34.551936198334175,LOCALLY_SOLVED
4,170,model 1,0.0148296,0.9918791,9.096174790879628e-5,107.80154597652954,0.28463657597161246,LOCALLY_SOLVED
4,170,model 2,0.0050675,0.3128654,0.00010637604448033036,175.17328023215853,0.47688044029810767,LOCALLY_SOLVED
4,170,model 3,0.0045046,0.7052127,0.00010205260674716895,107.44862612062032,0.2910198138175132,LOCALLY_SOLVED
5,170,model 1,0.0159218,0.6526005,889.4927114737117,74064.66190951449,79.33627703242811,LOCALLY_SOLVED
5,170,model 2,0.0043553,0.5067852,889.6734599923165,73524.5705598398,78.78935245189783,LOCALLY_SOLVED
5,170,model 3,0.005621,0.7785143,885.7576250822397,71845.80724435743,76.9949788623738,LOCALLY_SOLVED
6,170,model 1,0.0157661,0.6834762,2679.035706212771,185542.32103312726,58.160611546991355,LOCALLY_SOLVED
6,170,model 2,0.0046264,0.2242361,2679.8599636167414,185121.21517971478,58.03393391031426,LOCALLY_SOLVED
6,170,model 3,0.0059094,0.3397437,2678.3546750125097,185568.83228853246,58.172146295341136,LOCALLY_SOLVED
7,170,model 1,0.0163019,81.2457043,2.4990867266807444e6,1.886169180458745e8,45.03207211026063,ITERATION_LIMIT
7,170,model 2,0.0059528,0.0391676,2.5213460815015603e6,7.92955054167734e6,1.8459340301345635,LOCALLY_SOLVED
7,170,model 3,0.0051134,0.046121,2.502963171469695e6,1.0261154711152177e7,2.39403295229286,LOCALLY_SOLVED
8,170,model 1,0.0469984,0.5173344,70.01180971093342,448.7497762612159,5.152607748454198,LOCALLY_SOLVED
