;Mase da previsão;;;;;;Tempo criação ;;;;;;Tempo otimização;;;
;Modelo;Média;Desvio Padrão;Mediana;;;Modelo;Média;Desvio Padrão;Mediana;;;Modelo;Média;Desvio Padrão;Mediana
;Pacote;1,443431889;1,719473569;0,94428918;;;Pacote;-1;-1;-1;;;Pacote;0,711091809;2,560342142;0,2718798
;Modelo 1 (manual);33,40383902;47,9394203;8,361018488;;;Modelo 1 (manual);0,021824743;0,017982968;0,01577765;;;Modelo 1 (manual);0,518010688;0,254508724;0,4865513
d = 0;Modelo 2 (manual);29,91634164;47,63245794;6,138682603;;;Modelo 2 (manual);0,007098704;0,013856593;0,00480625;;;Modelo 2 (manual);0,534914021;0,895122513;0,30031065
;Modelo 3 (manual);28,80520541;48,14108143;5,931896645;;;Modelo 3 (manual);0,00663535;0,015212489;0,0049032;;;Modelo 3 (manual);0,490299631;0,938004251;0,35853155
;Modelo 1;33,50436931;47,11861812;8,150203288;;;Modelo 1;0,0207642;0,026324832;0,01510475;;;Modelo 1;0,512341302;0,298927143;0,456392
;Modelo 2;29,33310783;46,92677231;6,873048111;;;Modelo 2;0,007254629;0,017672583;0,0050805;;;Modelo 2;0,259279152;0,206215774;0,261684
;Modelo 3 ;28,65594003;47,23261638;5,711070452;;;Modelo 3 ;0,007046956;0,015582864;0,00493175;;;Modelo 3 ;0,301895149;0,274411097;0,2694431
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Mase da previsão;;;;;;Tempo criação ;;;;;;Tempo otimização;;;
;Modelo;Média;Desvio Padrão;Mediana;;;Modelo;Média;Desvio Padrão;Mediana;;;Modelo;Média;Desvio Padrão;Mediana
;Pacote;1,071087887;1,333525764;0,650465403;;;Pacote;-1;-1;-1;;;Pacote;3,540771473;8,868847396;0,7810257
;Modelo 1 (manual);15,99273674;23,94781129;4,473959052;;;Modelo 1 (manual);0,019117618;0,009818589;0,0154695;;;Modelo 1 (manual);3,683604808;29,92752139;0,55603345
d = 0.5;Modelo 2 (manual);15,43664089;22,76779603;3,220386124;;;Modelo 2 (manual);0,008710688;0,033854451;0,00488175;;;Modelo 2 (manual);0,924567297;1,636701959;0,42970365
;Modelo 3 (manual);18,91415687;28,86087321;4,43126152;;;Modelo 3 (manual);0,007366194;0,01634335;0,005072;;;Modelo 3 (manual);1,02738053;1,795062096;0,50404915
;Modelo 1;15,1421461;23,13747485;4,400253861;;;Modelo 1;0,023508253;0,039755492;0,01561105;;;Modelo 1;0,915873508;0,921930946;0,74294155
;Modelo 2;16,02949189;24,32594903;4,802703199;;;Modelo 2;0,006757341;0,013260668;0,0050755;;;Modelo 2;1,517938643;3,692158906;0,53665735
;Modelo 3 ;17,12756066;25,50551438;5,355563208;;;Modelo 3 ;0,00776591;0,016844712;0,00480505;;;Modelo 3 ;0,675443885;0,623194158;0,59533865
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Mase da previsão;;;;;;Tempo criação ;;;;;;Tempo otimização;;;
;Modelo;Média;Desvio Padrão;Mediana;;;Modelo;Média;Desvio Padrão;Mediana;;;Modelo;Média;Desvio Padrão;Mediana
;Pacote;1,116113628;1,782444252;0,247123999;;;Pacote;-1;-1;-1;;;Pacote;1,473979429;3,866824918;0,5392228
;Modelo 1 (manual);7,129744356;47,74841383;0,430745528;;;Modelo 1 (manual);0,02123476;0,020852579;0,0146566;;;Modelo 1 (manual);9,400355577;33,71772087;0,58613225
d = 1;Modelo 2 (manual);1,473353356;4,093158961;0,308579575;;;Modelo 2 (manual);0,007619838;0,013160311;0,00479895;;;Modelo 2 (manual);4,932130175;21,94197422;0,5701261
;Modelo 3 (manual);4,966543318;19,23070634;0,314526572;;;Modelo 3 (manual);0,007927957;0,015041064;0,00502725;;;Modelo 3 (manual);10,8981841;40,74645662;0,5694954
;Modelo 1;1,393739332;3,169075959;0,383966046;;;Modelo 1;0,03766193;0,018412919;0,03124935;;;Modelo 1;22,33808583;62,69272047;1,99720545
;Modelo 2;1,60657223;3,255666253;0,248264189;;;Modelo 2;0,014916351;0,018241309;0,01300535;;;Modelo 2;10,74830461;37,87174084;1,57715505
;Modelo 3 ;1,373609374;1,699603275;0,859857403;;;Modelo 3 ;0,01530388;0,022578723;0,0125522;;;Modelo 3 ;0,449877495;0,322573481;0,4799761
