model;metric;mean;std;median
model 1;t create;0,017652966;0,009151609551674891;0,01395575
model 1;t optim;22,785713202999997;19,312309502324783;19,97279255
model 1;rmse train;1,2197984610107755e6;6,729781187971417e6;49,92174098350877
model 1;rmse test;1,6563450902643e6;1,063993046968673e7;1011,6431396780729
model 1;mase test;0,8314255325456549;1,5757315810490742;0,3172115577663968
model 2;t create;0,005705923000000001;0,003115278497946642;0,00516585
model 2;t optim;5,5918674500000005;26,81378189630079;0,7365753500000001
model 2;rmse train;1,1339766623560223e6;1,0637451201082911e7;18,921146339803236
model 2;rmse test;2,03507247696529e6;2,3400360142328127e-10;2,0350724769652903e6
model 2;mase test;1,519833928417244;3,7338004832292047;0,26759399598378014
model 3;t create;0,005579878000000002;0,002668488939402435;0,0051982999999999994
model 3;t optim;8,00595565;32,721003454603725;0,7789082
model 3;rmse train;75222,18083464606;339072,31975110783;20,71693279043651
model 3;rmse test;2,5639886444076556e6;0,0;2,5639886444076556e6
model 3;mase test;4,023014308710007;13,25539389886138;0,44049396452586326
