model;metric;mean;std;median
model 1;t create;0,019091550000000002;0,012312040901520232;0,014116199999999999
model 1;t optim;11,417610491;26,905511276353693;0,96323585
model 1;rmse train;3,6166269690350695e6;2,7108137415244907e7;889,4927114737117
model 1;rmse test;1,1938164938324152e7;4,343009995941714e7;34474,8238060782
model 1;mase test;33,376286217284644;47,07491540586178;8,358160697413215
model 2;t create;0,012077398000000001;0,06721749197593695;0,00466245
model 2;t optim;0,523843026;0,8942545258559712;0,28866435
model 2;rmse train;2,021834114063781e6;1,1453799905230418e7;889,6734599923165
model 2;rmse test;7,998898288870259e6;3,632148668535795e7;39229,89067934093
model 2;mase test;29,916341641191888;47,63245793935258;6,138682602963707
model 3;t create;0,008853728;0,0323417715158282;0,0049305
model 3;t optim;0,479888577;0,8396992803914033;0,35397365000000003
model 3;rmse train;932183,3906138331;4,376235974652707e6;850,9980437180764
model 3;rmse test;6,916395296111653e6;3,394672979915958e7;35680,82492526758
model 3;mase test;28,805205407246728;48,14108143089217;5,931896644899783
